firma_adi,kategoriler,logo_url
bahariye,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-bahariye-250x250-1.jpg
baktat min,Gıda & Yağ,https://ensotek.com/upload/15/baktat-min-250x250-1.jpg
baktiroglu,Tekstil,https://ensotek.com/upload/17/baktiroglu-250x250-1.png
balkan sut,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-balkan-sut-250x250-1.jpg
balsuyu,Tekstil,https://ensotek.com/upload/17/balsuyu-250x250-1.png
basf,Başlıca Referanslar,https://ensotek.com/upload/1/ensotek-referanslari-basf-250x250-1.jpg
bati anadolu,Çimento - Maden,https://ensotek.com/upload/1/ensotek-referanslari-bati-anadolu-250x250-1.jpg
bati soke,Çimento - Maden,https://ensotek.com/upload/1/ensotek-referanslari-bati-soke-250x250-1.jpg
baycan gida,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-baycan-gida-250x250-1.jpg
baydemirler,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-baydemirler-250x250-1.jpg
bayindir hastanesi,AVM - İş Merkezi - Otel,https://ensotek.com/upload/3/ensotek-referanslari-bayindir-hastanesi-250x250-1.jpg
bayrampasa belediyesi,AVM - İş Merkezi - Otel,https://ensotek.com/upload/16/bayrampasa-belediyesi-250x250-1.png
bdc bilecik demir celik san ve tic as,Metal,https://ensotek.com/upload/2/ensotek-referanslari-bdc-bilecik-demir-celik-san-ve-tic-as-250x250-1.jpg
bekaert,Otomotiv,https://ensotek.com/upload/3/ensotek-referanslari-bekaert-250x250-1.jpg
belkis yag,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-belkis-yag-250x250-1.jpg
berrak,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-berrak-250x250-1.jpg
besel min,Gıda & Yağ,https://ensotek.com/upload/16/besel-min-250x250-1.jpg
beta tea,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-beta-tea-250x250-1.jpg
betek,Kimya,https://ensotek.com/upload/1/ensotek-referanslari-betek-250x250-1.jpg
beypilic,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-beypilic-250x250-1.jpg
bezmez,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-bezmez-250x250-1.jpg
bilim kimya,Kimya,https://ensotek.com/upload/17/bilim-kimya-250x250-1.png
billur tuz min,Gıda & Yağ,https://ensotek.com/upload/15/billur-tuz-min-250x250-1.png
birlesik akrilik san ve tic ltd sti,Kimya,https://ensotek.com/upload/10/ensotek-referanslari-birlesik-akrilik-san-ve-tic-ltd-sti-250x250-1.jpg
biscot,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-biscot-250x250-1.jpg
bmcolor,Kimya,https://ensotek.com/upload/5/ensotek-referanslari-bmcolor-250x250-1.jpg
bms birlesik metal min,Metal,https://ensotek.com/upload/16/bms-birlesik-metal-min-250x250-1.png
bolacalar un ve yem,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-bolacalar-un-ve-yem-250x250-1.jpg
