firma_adi,kategoriler,logo_url
korfez dokum,Metal,https://ensotek.com/upload/2/ensotek-referanslari-korfez-dokum-250x250-1.jpg
korkmaz tekstil,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-korkmaz-tekstil-250x250-1.jpg
kormetal,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-kormetal-250x250-1.jpg
koruma klor,Kimya,https://ensotek.com/upload/1/ensotek-referanslari-koruma-klor-250x250-1.jpg
koska,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-koska-250x250-1.jpg
koskerler celik halat ve mak san tic ltd sti,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-koskerler-celik-halat-ve-mak-san-tic-ltd-sti-250x250-1.jpg
kospek pekmez,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-kospek-pekmez-250x250-1.jpg
kremel sa,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-kremel-sa-250x250-1.jpg
kucukarslanlar,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-kucukarslanlar-250x250-1.jpg
kudret metal min,Metal,https://ensotek.com/upload/15/kudret-metal-min-250x250-1.jpg
kuhne,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-kuhne-250x250-1.jpg
kurtoglu aluminyum,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-kurtoglu-aluminyum-250x250-1.jpg
kuzu grup,AVM - İş Merkezi - Otel; Enerji,https://ensotek.com/upload/1/ensotek-referanslari-kuzu-grup-250x250-1.jpg
lafarge,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-lafarge-250x250-1.jpg
limak,Çimento - Maden,https://ensotek.com/upload/1/ensotek-referanslari-limak-250x250-1.jpg
linde,Kimya,https://ensotek.com/upload/1/ensotek-referanslari-linde-250x250-1.jpg
linde min,Kimya,https://ensotek.com/upload/17/linde-min-250x250-1.jpg
llc,Metal,https://ensotek.com/upload/2/ensotek-referanslari-llc-250x250-1.jpg
major skt,Otomotiv,https://ensotek.com/upload/3/ensotek-referanslari-major-skt-250x250-1.jpg
makina takim,Mühendislik - Makine,https://ensotek.com/upload/17/makina-takim-250x250-1.png
makina takim endustri as,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-makina-takim-endustri-as-250x250-1.jpg
mardin cimento,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-mardin-cimento-250x250-1.jpg
marsa yag,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-marsa-yag-250x250-1.jpg
mass cement,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-mass-cement-250x250-1.jpg
matek makina min,Mühendislik - Makine,https://ensotek.com/upload/17/matek-makina-min-250x250-1.jpg
maybi,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-maybi-250x250-1.jpg
mayderi sanayi ve ticaret as,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-mayderi-sanayi-ve-ticaret-as-250x250-1.jpg
meltem kimya,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-meltem-kimya-250x250-1.jpg
mepar min,Otomotiv,https://ensotek.com/upload/16/mepar-min-250x250-1.jpg
meryan otel,AVM - İş Merkezi - Otel,https://ensotek.com/upload/2/ensotek-referanslari-meryan-otel-250x250-1.jpg
mes yag,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-mes-yag-250x250-1.jpg
metal matris sanayi ve ticaret as min,Metal,https://ensotek.com/upload/15/metal-matris-sanayi-ve-ticaret-as-min-250x250-1.png
mey,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-mey-250x250-1.jpg
meydan makas,Metal,https://ensotek.com/upload/2/ensotek-referanslari-meydan-makas-250x250-1.jpg
midal kablo,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-midal-kablo-250x250-1.jpg
milkon sut,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-milkon-sut-250x250-1.jpg
mimsan endustri kazanlari,Enerji,https://ensotek.com/upload/16/mimsan-endustri-kazanlari-250x250-1.png
mks mehmet eren otomotiv teks ve tic ltd sti,Otomotiv,https://ensotek.com/upload/3/ensotek-referanslari-mks-mehmet-eren-otomotiv-teks-ve-tic-ltd-sti-250x250-1.jpg
mmc,Mühendislik - Makine; Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-mmc-250x250-1.jpg
mmk metalurji,Metal,https://ensotek.com/upload/2/ensotek-referanslari-mmk-metalurji-250x250-1.jpg
mor aluminyum,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-mor-aluminyum-250x250-1.jpg
moston,Metal,https://ensotek.com/upload/2/ensotek-referanslari-moston-250x250-1.jpg
motorsan,Mühendislik - Makine,https://ensotek.com/upload/17/motorsan-250x250-1.png
muammer pirlanta dingil dokum,Otomotiv,https://ensotek.com/upload/3/ensotek-referanslari-muammer-pirlanta-dingil-dokum-250x250-1.jpg
muammer pirlanta min,Otomotiv,https://ensotek.com/upload/16/muammer-pirlanta-min-250x250-1.jpg
mudurnu,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-mudurnu-250x250-1.jpg
mukarnas hotel,AVM - İş Merkezi - Otel,https://ensotek.com/upload/2/ensotek-referanslari-mukarnas-hotel-250x250-1.jpg
muratli karton,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/11/ensotek-referanslari-muratli-karton-250x250-1.jpg
mutlu aku,Enerji,https://ensotek.com/upload/17/ensotek-referanslari-mutlu-aku-250x250-1.jpg
mutlusan electric,Plastik,https://ensotek.com/upload/3/ensotek-referanslari-mutlusan-electric-250x250-1.jpg
nedex,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-nedex-250x250-1.jpg
neseli sutcu,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-neseli-sutcu-250x250-1.jpg
nevafil,Tekstil,https://ensotek.com/upload/17/nevafil-250x250-1.png
nexans,Alüminyum - Tel Çekme; Metal,https://ensotek.com/upload/2/ensotek-referanslari-nexans-250x250-1.jpg
nn metalurji,Metal,https://ensotek.com/upload/16/nn-metalurji-250x250-1.jpg
noksel,Metal,https://ensotek.com/upload/1/ensotek-referanslari-noksel-250x250-1.jpg
novartis,Kimya,https://ensotek.com/upload/1/ensotek-referanslari-novartis-250x250-1.jpg
nuh cimento,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-nuh-cimento-250x250-1.jpg
nuh kompozit,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-nuh-kompozit-250x250-1.jpg
nuh panel,Metal,https://ensotek.com/upload/2/ensotek-referanslari-nuh-panel-250x250-1.jpg
nuhtel makina san ve tic ltdi sti,Metal,https://ensotek.com/upload/2/ensotek-referanslari-nuhtel-makina-san-ve-tic-ltdi-sti-250x250-1.jpg
nur cephe,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-nur-cephe-250x250-1.jpg
nurol teknoloji,Başlıca Referanslar,https://ensotek.com/upload/1/ensotek-referanslari-nurol-teknoloji-250x250-1.jpg
okan min,Metal,https://ensotek.com/upload/16/okan-min-250x250-1.jpg
okyanus aluminyum,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-okyanus-aluminyum-250x250-1.jpg
onerler,Mühendislik - Makine,https://ensotek.com/upload/17/onerler-250x250-1.png
onerler makina,Metal,https://ensotek.com/upload/2/ensotek-referanslari-onerler-makina-250x250-1.jpg
opet crystal industries,Plastik,https://ensotek.com/upload/16/opet-crystal-industries-250x250-1.jpg
orion avm,AVM - İş Merkezi - Otel,https://ensotek.com/upload/2/ensotek-referanslari-orion-avm-250x250-1.jpg
ormak,Mühendislik - Makine,https://ensotek.com/upload/17/ormak-250x250-1.png
orpir orman urunleri,Gıda & Yağ,https://ensotek.com/upload/16/orpir-orman-urunleri-250x250-1.jpg
ortinox min,Mühendislik - Makine,https://ensotek.com/upload/17/ortinox-min-250x250-1.png
oryatas,AVM - İş Merkezi - Otel,https://ensotek.com/upload/2/ensotek-referanslari-oryatas-250x250-1.jpg
oz plas,Plastik,https://ensotek.com/upload/3/ensotek-referanslari-oz-plas-250x250-1.jpg
ozbak geri donusum,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-ozbak-geri-donusum-250x250-1.jpg
ozcan,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-ozcan-250x250-1.jpg
ozkaynak falez otel,AVM - İş Merkezi - Otel,https://ensotek.com/upload/2/ensotek-referanslari-ozkaynak-falez-otel-250x250-1.jpg
pak yag,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-pak-yag-250x250-1.jpg
panda,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-panda-250x250-1.jpg
parteks,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/11/ensotek-referanslari-parteks-250x250-1.jpg
perfetti,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-perfetti-250x250-1.jpg
petlas,Otomotiv,https://ensotek.com/upload/1/ensotek-referanslari-petlas-250x250-1.jpg
pf,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-pf-250x250-1.jpg
pilsan,Plastik,https://ensotek.com/upload/1/ensotek-referanslari-pilsan-250x250-1.jpg
pinar sut,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-pinar-sut-250x250-1.jpg
pir inci imalat sanayi as,Metal,https://ensotek.com/upload/2/ensotek-referanslari-pir-inci-imalat-sanayi-as-250x250-1.jpg
pirelli,Otomotiv,https://ensotek.com/upload/1/ensotek-referanslari-pirelli-250x250-1.jpg
plastay kimya,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-plastay-kimya-250x250-1.jpg
plastifay kimya endustri,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-plastifay-kimya-endustri-250x250-1.jpg
poliday,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-poliday-250x250-1.jpg
polikor,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-polikor-250x250-1.jpg
polimersan,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-polimersan-250x250-1.jpg
polyteks tasdelen group,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-polyteks-tasdelen-group-250x250-1.jpg
queens park tekirova resort spa,AVM - İş Merkezi - Otel,https://ensotek.com/upload/16/queens-park-tekirova-resort-spa-250x250-1.png
ranteko,Mühendislik - Makine,https://ensotek.com/upload/17/ranteko-250x250-1.png
rast enerji,Enerji,https://ensotek.com/upload/16/ensotek-referanslari-rast-enerji-250x250-1.jpg
ravaber,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-ravaber-250x250-1.jpg
retay,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-retay-250x250-1.jpg
reyka,Gıda & Yağ,https://ensotek.com/upload/16/reyka-250x250-1.jpg
reyka konserve,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-reyka-konserve-250x250-1.jpg
richmond pamukkale,AVM - İş Merkezi - Otel,https://ensotek.com/upload/2/ensotek-referanslari-richmond-pamukkale-250x250-1.jpg
robat zagros mineral water,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-robat-zagros-mineral-water-250x250-1.jpg
s sim telcekme teknolojileri,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-s-sim-telcekme-teknolojileri-250x250-1.jpg
saadet gida,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-saadet-gida-250x250-1.jpg
saglam metal,Metal,https://ensotek.com/upload/16/saglam-metal-250x250-1.png
sahinler metal,Metal,https://ensotek.com/upload/2/ensotek-referanslari-sahinler-metal-250x250-1.jpg
salti tuz,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-salti-tuz-250x250-1.jpg
samavto,Otomotiv,https://ensotek.com/upload/1/ensotek-referanslari-samavto-250x250-1.jpg
samsun makina sanayi as,Mühendislik - Makine,https://ensotek.com/upload/4/ensotek-referanslari-samsun-makina-sanayi-as-250x250-1.jpg
saray aluminyum,Başlıca Referanslar,https://ensotek.com/upload/15/saray-aluminyum-250x250-1.jpg
saray holding,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-saray-holding-250x250-1.jpg
sardes,Gıda & Yağ,https://ensotek.com/upload/16/sardes-250x250-1.jpg
sarten,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/11/ensotek-referanslari-sarten-250x250-1.jpg
sebat,Kimya,https://ensotek.com/upload/17/sebat-250x250-1.png
sec salca,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-sec-salca-250x250-1.jpg
secer tarim,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-secer-tarim-250x250-1.jpg
sefkat metal geri donusumleri,Metal,https://ensotek.com/upload/2/ensotek-referanslari-sefkat-metal-geri-donusumleri-250x250-1.jpg
sekeroglu,Plastik,https://ensotek.com/upload/3/ensotek-referanslari-sekeroglu-250x250-1.jpg
sel sanayi,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-sel-sanayi-250x250-1.jpg
sel sanayi min,Kimya,https://ensotek.com/upload/17/sel-sanayi-min-250x250-1.jpg
senpilic,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-senpilic-250x250-1.jpg
seramiksan,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-seramiksan-250x250-1.jpg
serko tekstil,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-serko-tekstil-250x250-1.jpg
sertel hirdavat,Metal,https://ensotek.com/upload/2/ensotek-referanslari-sertel-hirdavat-250x250-1.jpg
set cimento,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-set-cimento-250x250-1.jpg
setas,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-setas-250x250-1.jpg
seyitomer,Enerji,https://ensotek.com/upload/1/ensotek-referanslari-seyitomer-250x250-1.jpg
sibas gida,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-sibas-gida-250x250-1.jpg
siddik kardesler,Metal,https://ensotek.com/upload/2/ensotek-referanslari-siddik-kardesler-250x250-1.jpg
silvan sanayi as,Metal,https://ensotek.com/upload/2/ensotek-referanslari-silvan-sanayi-as-250x250-1.jpg
simge endustriyel muh san ve tic ltd sti,Mühendislik - Makine,https://ensotek.com/upload/4/ensotek-referanslari-simge-endustriyel-muh-san-ve-tic-ltd-sti-250x250-1.jpg
sintek,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-sintek-250x250-1.jpg
sirikcioglu mencucat,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-sirikcioglu-mencucat-250x250-1.jpg
slava sut,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-slava-sut-250x250-1.jpg
sodas sodyum sanayii as,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-sodas-sodyum-sanayii-as-250x250-1.jpg
sonmez transformator,Enerji,https://ensotek.com/upload/17/sonmez-transformator-250x250-1.jpg
starlight,AVM - İş Merkezi - Otel,https://ensotek.com/upload/2/ensotek-referanslari-starlight-250x250-1.jpg
stroton,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/11/ensotek-referanslari-stroton-250x250-1.jpg
sulfert kimya,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-sulfert-kimya-250x250-1.jpg
sumitomo,Otomotiv,https://ensotek.com/upload/1/ensotek-referanslari-sumitomo-250x250-1.jpg
sumitomo rubber ako lastik san ve tic as,Otomotiv,https://ensotek.com/upload/16/sumitomo-rubber-ako-lastik-san-ve-tic-as-250x250-1.png
tai,AVM - İş Merkezi - Otel,https://ensotek.com/upload/2/ensotek-referanslari-tai-250x250-1.jpg
tarimar,Mühendislik - Makine,https://ensotek.com/upload/4/ensotek-referanslari-tarimar-250x250-1.jpg
tat tekstil,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-tat-tekstil-250x250-1.jpg
tayf kimya,Kimya,https://ensotek.com/upload/10/ensotek-referanslari-tayf-kimya-250x250-1.jpg
tei tusas motor sanayii as,Enerji; Mühendislik - Makine,https://ensotek.com/upload/4/ensotek-referanslari-tei-tusas-motor-sanayii-as-250x250-1.jpg
tek is,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-tek-is-250x250-1.jpg
tekay,Otomotiv,https://ensotek.com/upload/3/ensotek-referanslari-tekay-250x250-1.jpg
tekno seramik,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-tekno-seramik-250x250-1.jpg
teknokem kimya san ve tic as,Kimya,https://ensotek.com/upload/10/ensotek-referanslari-teknokem-kimya-san-ve-tic-as-250x250-1.jpg
teksan,Enerji; Mühendislik - Makine,https://ensotek.com/upload/4/ensotek-referanslari-teksan-250x250-1.jpg
tel metal soguk haddecilik,Metal,https://ensotek.com/upload/16/tel-metal-soguk-haddecilik-250x250-1.png
telmetal,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-telmetal-250x250-1.jpg
tezcan galvaniz,Metal,https://ensotek.com/upload/1/ensotek-referanslari-tezcan-galvaniz-250x250-1.jpg
the marmara otel,AVM - İş Merkezi - Otel,https://ensotek.com/upload/1/ensotek-referanslari-the-marmara-otel-250x250-1.jpg
thy doco,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-thy-doco-250x250-1.jpg
tisan muhendislik,Plastik,https://ensotek.com/upload/3/ensotek-referanslari-tisan-muhendislik-250x250-1.jpg
tofas,Otomotiv,https://ensotek.com/upload/1/ensotek-referanslari-tofas-250x250-1.jpg
toscelik,Metal,https://ensotek.com/upload/1/ensotek-referanslari-toscelik-250x250-1.jpg
tozmetal ticaret ve sanayi as,Metal,https://ensotek.com/upload/2/ensotek-referanslari-tozmetal-ticaret-ve-sanayi-as-250x250-1.jpg
trakya birlik,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-trakya-birlik-250x250-1.jpg
trakya yem ve yag,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-trakya-yem-ve-yag-250x250-1.jpg
tubitak,AVM - İş Merkezi - Otel,https://ensotek.com/upload/1/tubitak-250x250-1.jpg
tugcelik,Metal,https://ensotek.com/upload/16/tugcelik-250x250-1.jpg
turk ytong,Çimento - Maden,https://ensotek.com/upload/1/ensotek-referanslari-turk-ytong-250x250-1.jpg
turka otelcilik,AVM - İş Merkezi - Otel,https://ensotek.com/upload/2/ensotek-referanslari-turka-otelcilik-250x250-1.jpg
turktex,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-turktex-250x250-1.jpg
tursoy otelcilik,AVM - İş Merkezi - Otel,https://ensotek.com/upload/2/ensotek-referanslari-tursoy-otelcilik-250x250-1.jpg
tuzunler tarim,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-tuzunler-tarim-250x250-1.jpg
ucgen pigment,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-ucgen-pigment-250x250-1.jpg
ufuk isi cam,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/11/ensotek-referanslari-ufuk-isi-cam-250x250-1.jpg
ugur beton,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-ugur-beton-250x250-1.jpg
ugur derin dondurucu,Başlıca Referanslar,https://ensotek.com/upload/1/ensotek-referanslari-ugur-derin-dondurucu-250x250-1.jpg
ugur seluloz kimya,Kimya,https://ensotek.com/upload/10/ensotek-referanslari-ugur-seluloz-kimya-250x250-1.jpg
ugurlu glass oto camlari,Otomotiv,https://ensotek.com/upload/3/ensotek-referanslari-ugurlu-glass-oto-camlari-250x250-1.jpg
ukinoks mutfak sistemleri,Metal,https://ensotek.com/upload/2/ensotek-referanslari-ukinoks-mutfak-sistemleri-250x250-1.jpg
ulker biskuvi,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-ulker-biskuvi-250x250-1.jpg
umran boru,Metal,https://ensotek.com/upload/1/ensotek-referanslari-umran-boru-250x250-1.jpg
unlusoy min,Mühendislik - Makine,https://ensotek.com/upload/17/unlusoy-min-250x250-1.jpg
unormak min,Mühendislik - Makine,https://ensotek.com/upload/17/unormak-min-250x250-1.png
usk kimya min,Kimya,https://ensotek.com/upload/17/usk-kimya-min-250x250-1.png
usta gipe iplik,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-usta-gipe-iplik-250x250-1.jpg
ustyapi,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-ustyapi-250x250-1.jpg
vateks,Kimya,https://ensotek.com/upload/10/ensotek-referanslari-vateks-250x250-1.jpg
veskim,Kimya,https://ensotek.com/upload/10/ensotek-referanslari-veskim-250x250-1.jpg
vicat,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-vicat-250x250-1.jpg
vira color masterbatches,Kimya,https://ensotek.com/upload/10/ensotek-referanslari-vira-color-masterbatches-250x250-1.jpg
vit makina,Metal,https://ensotek.com/upload/2/ensotek-referanslari-vit-makina-250x250-1.jpg
vital kimya,Kimya,https://ensotek.com/upload/17/vital-kimya-250x250-1.png
vivident,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-vivident-250x250-1.jpg
volant,Kimya,https://ensotek.com/upload/10/ensotek-referanslari-volant-250x250-1.jpg
votorantim,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-votorantim-250x250-1.jpg
worldmar avm,AVM - İş Merkezi - Otel,https://ensotek.com/upload/3/ensotek-referanslari-worldmar-avm-250x250-1.jpg
yasin kaplan carpet,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-yasin-kaplan-carpet-250x250-1.jpg
yavuz aluminyum,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-yavuz-aluminyum-250x250-1.jpg
yavuzlar aluminyum,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-yavuzlar-aluminyum-250x250-1.jpg
yayla agro min,Gıda & Yağ,https://ensotek.com/upload/15/yayla-agro-min-250x250-1.jpg
yd insaat,Çimento - Maden,https://ensotek.com/upload/17/yd-insaat-250x250-1.jpg
yigit aku,Enerji,https://ensotek.com/upload/15/yigit-aku-250x250-1.png
yildiz holding,Başlıca Referanslar,https://ensotek.com/upload/1/ensotek-referanslari-yildiz-holding-250x250-1.jpg
yildiz pul,Otomotiv,https://ensotek.com/upload/3/ensotek-referanslari-yildiz-pul-250x250-1.jpg
yilkar dokum,Metal,https://ensotek.com/upload/2/ensotek-referanslari-yilkar-dokum-250x250-1.jpg
yonca yag,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-yonca-yag-250x250-1.jpg
yoruk konveyor bant,Mühendislik - Makine,https://ensotek.com/upload/17/yoruk-konveyor-bant-250x250-1.png
yuce er kalip min,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/16/yuce-er-kalip-min-250x250-1.jpg
zatel,Metal,https://ensotek.com/upload/16/zatel-250x250-1.png
zentiva,Kimya,https://ensotek.com/upload/1/ensotek-referanslari-zentiva-250x250-1.jpg
zer salca,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-zer-salca-250x250-1.jpg
zodiac,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-zodiac-250x250-1.jpg
